B,B,B,B,B,B,0.000,0.016,0.004,0.000,0.000,0.000,0.007,0.011,0.000,0.000,0.000,0.000,0.004,0.004,0.000,0.000,0.011,0.000,0.000
0.000,0.000,0.000,0.000,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011
0.000,0.000,0.000,0.000,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.171,0.230
0.774,0.000,1.092,5.466,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
2.644,1.541,1.092,4.999,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
0.000,0.000,0.000,0.000,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.253,0.000,0.000
0.000,0.000,0.935,5.234,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.107,0.058,0.011,0.025
0.000,0.000,0.774,5.234,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.172,0.034,0.025,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.025,0.172,0.107,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.460,0.000,0.000,0.000,B,B,B,B,B,B,B,0.089,0.017,0.000,0.000
